id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
152,Hardwoods,"Ebony, African",Diospyros ?mespiliformis,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Hardwoods,"Ebony, African",Diospyros ?mespiliformis,West Africa,A.D.,10 planks,12,,817,0.73,0.037,71,117,15.9,21,10700,1670,21,0.153,0.042,21,0.387,0.093,20,1.19,0.336,19,58.7,5.63,68,9470,967,53,19.2,2.99,42,13.3,4.68,17,23.3,4.11,17
154,Hardwoods,Ekki,Lophira alata,West Africa,G.,11,43,1292,,0.86,0.029,57,118,12.6,50,13600,1530,50,0.11,0.028,27,0.238,0.045,27,1.35,0.259,56,65.6,5.35,57,12030,1427,57,15.2,1.69,114,16.3,1.6,49,29.6,2.99,49
155,Hardwoods,Ekki,Lophira alata,West Africa,A.D.,11,14.7,,1051,0.94,0.033,58,164,27.1,51,16200,2180,51,0.164,0.056,19,0.349,0.11,19,1.2,0.266,50,85.0,8.02,58,14700,1273,58,23.5,3.23,116,18.4,3.02,49,32.0,5.01,49
156,Hardwoods,"Elm, English",Ulmus procera,United Kingdom,G.,16,140,641,,0.43,0.028,494,40,5.6,58,5200,1020,58,0.064,0.02,57,0.121,0.038,25,0.66,0.144,41,16.9,2.51,494,3380,761,320,7.9,1.69,328,13.3,1.47,109,15.2,1.81,118
157,Hardwoods,"Elm, English",Ulmus procera,United Kingdom,A.D.,16,12,,513,0.46,0.025,257,68,6.7,24,7000,840,24,0.074,0.02,24,0.128,0.051,23,0.58,0.153,18,33.9,3.48,257,3650,528,171,12.5,1.2,124,14.0,2.62,57,16.8,2.47,57
158,Hardwoods,"Elm, Dutch",Ulmus hollandica var. hollandica,United Kingdom,G.,18,139,641,,0.43,0.029,581,44,5.7,95,5400,1040,95,0.08,0.023,94,0.173,0.054,38,0.81,0.239,59,18.7,2.4,581,3380,646,292,7.6,1.3,448,13.3,1.7,123,15.2,1.57,131
159,Hardwoods,"Elm, Dutch",Ulmus hollandica var. hollandica,United Kingdom,A.D.,18,12,,513,0.46,0.032,333,74,10.7,52,7200,1100,52,0.094,0.032,52,0.168,0.068,28,0.71,0.157,38,34.0,4.98,333,3870,617,192,11.7,1.66,214,14.0,2.53,79,16.8,2.28,78
160,Hardwoods,"Elm, wych",Ulmus glabra,United Kingdom,G.,12,75,753,,0.5,0.037,395,68,7.0,102,9400,1250,102,0.116,0.032,102,0.219,0.068,31,0.81,0.197,57,30.4,3.86,395,3960,655,215,8.3,0.99,156,16.1,2.33,82,18.6,2.18,84
161,Hardwoods,"Elm, wych",Ulmus glabra,United Kingdom,A.D.,12,12,,609,0.55,0.037,303,105,11.8,70,10600,1360,70,0.15,0.032,68,0.283,0.075,24,1.09,0.175,64,49.2,6.37,303,4490,720,197,12.9,1.85,196,20.5,2.62,96,24.5,2.27,96
162,Hardwoods,Esia,Combretodendron macrocarpum,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Hardwoods,Esia,Combretodendron macrocarpum,West Africa,A.D.,2 planks,12,,865,0.77,0.026,54,140,8.3,9,14500,860,9,0.141,0.022,9,0.246,0.042,8,1.14,0.088,9,74.9,8.02,53,9700,715,47,15.4,1.81,26,22.6,4.17,15,28.5,4.44,15
164,Hardwoods,Freijo,Cordia goeldiana,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Hardwoods,Freijo,Cordia goeldiana,Brazil,A.D.,10 planks,12,,577,0.52,0.061,88,97,12.7,54,12000,1070,54,0.109,0.023,54,0.199,0.038,54,,,,54.3,6.79,88,4450,909,59,10.2,2.07,82,12.1,2.75,38,10.9,2.2,38
166,Hardwoods,Gagil,Hopea sangal,Sabah,G.,5,61,817,,0.55,0.067,38,90,13.8,38,10800,1530,38,,,,,,,0.71,0.145,38,46.5,7.57,38,3780,895,38,9.4,1.64,76,,,,,,
167,Hardwoods,Gagil,Hopea sangal,Sabah,A.D.,5,12.2,,641,0.58,0.075,38,117,18.1,38,12900,2020,38,,,,,,,0.89,0.131,38,60.4,9.56,38,4670,1046,38,12.5,3.12,76,,,,,,
168,Hardwoods,Gedu nohor,Entandrophragma angolense,East Africa,G.,3 logs,74,705,,0.47,0.054,94,52,5.3,20,6900,660,20,0.062,0.017,20,0.125,0.045,20,0.51,0.112,18,25.4,4.82,75,3420,892,52,7.4,1.2,36,12.1,1.92,18,14.0,1.52,18
169,Hardwoods,Gedu nohor,Entandrophragma angolense,East Africa,A.D.,2 logs,12,,561,0.5,0.058,93,77,14.2,16,8600,1100,16,0.066,0.028,20,0.112,0.056,20,0.61,0.179,16,45.2,6.92,77,4180,1298,67,12.5,1.83,64,14.5,3.13,24,16.1,2.58,24
170,Hardwoods,Gmelina,Gmelina arborea,West Africa,G.,5 trees and 1 plank,100,625,,0.42,0.041,41,54,9.5,40,5900,920,40,0.08,0.032,40,0.225,0.074,40,0.69,0.188,41,25.6,4.62,41,3250,661,41,8.5,1.52,82,,,,,,
171,Hardwoods,Gmelina,Gmelina arborea,West Africa,A.D.,5 trees and 1 plank,12,,481,0.43,0.04,41,64,10.1,41,6300,1080,40,,,,,,,0.43,0.154,40,36.3,4.81,41,3070,745,41,11.4,1.92,82,,,,,,
172,Hardwoods,Greenheart,Ocotea rodiaei,Guyana,G.,65 pieces,37,1250,,0.83,0.05,165,144,15.6,164,15900,1510,116,0.088,0.023,116,0.168,0.038,116,1.3,0.245,163,72.5,9.29,165,8500,1124,164,15.0,2.11,332,17.0,3.84,151,23.3,3.42,150
173,Hardwoods,Greenheart,Ocotea rodiaei,Guyana,A.D.,65 pieces,13.6,,1009,0.9,0.052,205,190,22.3,202,21900,2090,202,0.212,0.048,174,0.371,0.089,174,1.4,0.226,194,98.5,11.25,205,10050,1482,204,20.8,3.29,404,15.7,4.58,197,23.3,4.61,194
174,Hardwoods,Grumixava,Micropholis gardnerianum,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Hardwoods,Grumixava,Micropholis gardnerianum,Brazil,A.D.,20 pieces,12.9,,693,0.62,0.051,108,116,12.2,52,11800,1300,52,0.129,0.026,52,0.163,0.039,52,0.92,0.132,54,57.5,5.3,108,6970,1470,52,16.4,2.92,92,15.8,2.85,28,24.4,4.01,28
176,Hardwoods,Guarea,Guarea cedrata,West Africa,G.,2,99,705,,0.47,0.021,60,74,3.7,12,8900,500,12,0.101,0.019,12,0.176,0.053,12,0.74,0.091,7,35.4,2.39,55,3870,349,32,10.8,0.88,32,14.9,2.2,18,19.3,1.63,18
177,Hardwoods,Guarea,Guarea cedrata,West Africa,A.D.,2,12,,545,0.49,0.022,66,103,8.0,25,9400,650,25,0.114,0.03,25,0.132,0.038,13,0.74,0.114,24,53.2,1.85,51,4000,412,51,15.4,1.16,42,12.8,1.57,19,17.7,1.14,19
178,Hardwoods,Guarea,Guarea thompsonii,West Africa,G.,4,52,817,,0.54,0.028,75,85,7.7,17,10600,1770,17,0.108,0.015,17,0.229,0.043,17,0.76,0.065,11,43.2,4.51,64,4230,582,38,10.5,0.95,28,13.7,2.13,15,12.4,1.77,15
179,Hardwoods,Guarea,Guarea thompsonii,West Africa,A.D.,4,12,,625,0.56,0.027,86,107,10.1,23,10800,1730,23,0.101,0.017,23,0.164,0.03,23,0.66,0.087,25,59.8,8.87,64,4890,388,64,13.5,2.46,42,8.4,1.72,25,6.8,1.77,25
180,Hardwoods,"Homalium, African",Homalium sp.,Nigeria,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Hardwoods,"Homalium, African",Homalium sp.,Nigeria,A.D.,2,12,,865,0.77,0.06,161,125,11.5,47,15000,2110,47,0.122,0.047,47,0.236,0.061,27,0.84,0.121,37,62.0,7.49,126,9120,1759,123,17.7,5.14,72,10.5,1.86,28,25.7,4.33,28
182,Hardwoods,Hora,Dipterocarpus zeylanicus,Sri Lanka,G.,8,67,977,,0.65,0.031,358,90,7.7,192,13500,1310,100,0.072,0.017,100,0.158,0.028,49,0.71,0.086,106,47.9,4.02,319,5600,924,133,9.9,1.22,130,16.8,2.51,66,19.8,2.76,63
183,Hardwoods,Hora,Dipterocarpus zeylanicus,Sri Lanka,A.D.,8,12,,801,0.71,0.031,336,124,10.8,109,15900,1280,109,0.107,0.023,109,0.178,0.035,32,0.89,0.077,96,70.0,5.76,332,6140,775,142,13.9,2.09,122,14.0,2.93,63,14.9,3.74,64
184,Hardwoods,Hornbeam,Carpinus betulus,United Kingdom,G.,12,71,865,,0.57,0.034,146,66,5.9,26,9700,940,26,0.169,0.025,26,0.457,0.056,12,1.27,0.232,16,27.0,2.93,139,5470,447,31,9.9,1.17,38,17.7,2.69,19,23.3,2.94,19
185,Hardwoods,Hornbeam,Carpinus betulus,United Kingdom,A.D.,12,12,,737,0.65,0.035,122,119,7.6,8,11900,850,8,0.143,0.027,8,0.233,0.099,4,1.14,0.201,7,55.0,4.57,106,6980,919,35,17.7,2.68,42,20.8,2.93,17,31.7,3.23,18
186,Hardwoods,"Horse-chestnut, European",Aesculus hippocastanum,United Kingdom,G.,3 planks,80,657,,0.44,0.03,516,41,5.7,151,5300,940,151,0.094,0.047,151,0.177,0.078,150,,,,17.4,2.85,199,2580,1601,166,,,,,,,,,
187,Hardwoods,"Horse-chestnut, European",Aesculus hippocastanum,United Kingdom,A.D.,3 planks,12,,529,0.47,0.033,341,71,9.0,146,6300,750,146,0.093,0.044,37,0.105,0.067,37,,,,40.3,4.26,195,3340,584,146,,,,,,,,,
188,Hardwoods,Idigbo,Terminalia ivorensis,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Hardwoods,Idigbo,Terminalia ivorensis,West Africa,A.D.,6 logs and 16 planks,12,,545,0.49,0.061,266,83,14.7,72,9300,1560,72,0.066,0.026,72,0.099,0.044,72,0.51,0.134,60,47.8,5.57,221,3740,1370,239,12.1,1.98,247,10.5,2.32,112,12.4,2.85,107
190,Hardwoods,Ipe,Tabebuia sp.,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Hardwoods,Ipe,Tabebuia sp.,Brazil,A.D.,5 planks,12,,993,0.89,0.06,34,137,28.9,24,13900,1690,24,0.139,0.072,24,0.415,0.215,24,,,,77.6,6.03,25,12720,1543,25,19.4,2.74,42,19.3,5.48,19,14.9,2.17,19
192,Hardwoods,Iroko,Chlorophora excelsa,West Africa,G.,2,92,817,,0.54,0.037,77,74,7.4,27,8300,1010,27,0.088,0.017,27,0.184,0.037,27,0.71,0.09,22,35.3,4.06,71,4800,681,33,10.3,1.63,44,15.8,2.35,20,18.6,3.24,20
193,Hardwoods,Iroko,Chlorophora excelsa,West Africa,A.D.,2 trees and 7 planks,12,,657,0.58,0.047,228,90,14.7,73,9400,1090,73,0.076,0.026,73,0.123,0.06,73,0.58,0.17,61,54.5,7.45,204,5600,1152,167,14.1,2.42,160,12.1,2.27,76,15.2,2.75,76
194,Hardwoods,Ironbark,Eucalyptus paniculata,Australia,G.,3,34,1346,,0.9,0.035,18,121,7.4,7,18100,1660,7,0.101,0.047,7,0.279,,,1.17,0.126,2,67.6,7.58,18,10850,1422,6,17.2,1.04,6,13.7,6.6,4,18.9,2.44,4
195,Hardwoods,Ironbark,Eucalyptus paniculata,Australia,A.D.,3,12,,1137,1.01,0.054,13,236,20.5,9,22700,2560,9,,,,,,,,,,111.8,8.04,10,15920,801,3,22.3,2.77,4,6.5,,1,10.0,,1
196,Hardwoods,Jarrah,Eucalyptus marginata,Australia,G.,28,59,1009,,0.68,0.044,28,72,10.4,26,9600,1770,28,,,,0.103,,,,,,37.2,5.11,27,5690,980,27,10.3,1.15,54,14.5,2.51,28,15.4,2.62,28
197,Hardwoods,Jarrah,Eucalyptus marginata,Australia,A.D.,28,12,,865,0.77,0.06,28,118,18.6,28,12100,2150,28,,,,0.194,,,,,,63.5,6.83,28,8500,1321,28,16.7,2.34,50,17.2,4.59,26,18.7,4.96,27
198,Hardwoods,Jequitiba,Cariniana sp.,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Hardwoods,Jequitiba,Cariniana sp.,Brazil,A.D.,9 planks,12,,577,0.52,0.041,104,95,12.6,35,9700,1670,35,0.116,0.04,35,0.21,0.076,35,0.89,0.182,35,49.0,5.17,104,4540,619,100,14.0,1.48,107,16.5,3.28,52,16.5,2.56,50
200,Hardwoods,"Kapur, Sabah",Dryobalanops beccarii,Sabah,G.,5,64,865,,0.58,0.053,43,81,11.4,43,10900,1250,43,,,,,,,0.71,0.104,43,41.2,5.63,43,3870,771,43,8.5,1.32,86,,,,,,
201,Hardwoods,"Kapur, Sabah",Dryobalanops beccarii,Sabah,A.D.,5,12.7,,705,0.63,0.054,45,117,15.5,45,13300,1890,45,,,,,,,0.86,0.099,44,66.4,6.75,45,5340,1266,45,12.7,1.74,90,,,,,,
202,Hardwoods,"Kapur, Sabah",Dryobalanops keithii,Sabah,G.,5,73,902,,0.6,0.036,46,81,11.1,45,12400,2210,45,0.074,0.023,15,0.15,0.044,15,0.74,0.099,44,42.9,4.78,46,4400,627,45,8.8,1.05,92,11.9,1.27,46,17.5,2.07,46
203,Hardwoods,"Kapur, Sabah",Dryobalanops keithii,Sabah,A.D.,5,14.6,,729,0.65,0.039,49,112,18.0,43,15100,3130,43,0.123,0.031,15,0.183,0.039,15,0.89,0.151,45,61.9,7.27,49,4850,642,49,12.1,1.48,87,13.0,2.29,37,18.2,3.11,37
204,Hardwoods,"Kapur, Sabah",Dryobalanops lanceolata,Sabah,G.,5,64,865,,0.58,0.034,117,88,6.6,43,11000,1310,43,0.108,0.014,19,0.208,0.028,19,0.74,0.118,43,42.9,4.66,117,4360,516,43,8.1,1.14,42,12.4,1.08,21,19.6,1.97,21
205,Hardwoods,"Kapur, Sabah",Dryobalanops lanceolata,Sabah,A.D.,5,12,,721,0.64,0.046,109,126,13.3,42,13000,1750,42,0.13,0.036,23,0.199,0.048,23,0.94,0.149,42,69.6,8.04,109,5470,772,42,13.7,1.14,44,11.7,0.91,21,17.2,2.97,21
206,Hardwoods,Karri,Eucalyptus diversicolor,Australia,G.,26,64,1041,,0.7,0.033,26,77,9.7,26,13400,2240,26,0.08,,,0.217,,,,,,37.6,6.11,26,6050,1033,26,10.4,1.6,42,14.7,2.46,26,18.6,4.13,26
207,Hardwoods,Karri,Eucalyptus diversicolor,Australia,A.D.,21,12,,913,0.82,0.035,21,139,11.1,21,17900,2320,21,0.175,,,0.346,,,,,,74.5,7.45,21,9030,1181,20,16.7,3.56,40,9.5,2.41,20,17.2,5.1,20
208,Hardwoods,Kataboda,Cullenia ceylanica,Sri Lanka,G.,5,39,769,,0.51,0.043,42,74,11.3,34,11000,1520,34,0.09,0.025,34,0.154,0.052,34,0.71,0.144,37,35.4,5.46,42,3200,629,37,8.3,1.18,38,9.8,1.2,18,11.9,2.6,18
209,Hardwoods,Kataboda,Cullenia ceylanica,Sri Lanka,A.D.,5,12,,625,0.55,0.043,42,112,14.4,36,12200,1340,36,0.124,0.036,36,0.178,0.055,36,1.04,0.134,34,63.6,6.9,42,4540,890,36,11.8,1.52,36,10.9,1.84,18,13.0,2.57,18
210,Hardwoods,"Keruing, Sabah",Dipterocarpus caudiferus,Sabah,G.,5,75,753,,0.51,0.038,91,70,10.1,46,12800,2140,46,0.081,0.019,23,0.17,0.041,23,0.69,0.069,42,35.4,4.65,91,3200,778,44,7.2,1.12,52,10.9,1.53,25,14.9,2.73,25
211,Hardwoods,"Keruing, Sabah",Dipterocarpus caudiferus,Sabah,A.D.,5,12,,641,0.58,0.045,86,110,12.0,41,13700,1310,41,0.134,0.031,21,0.223,0.038,21,0.97,0.102,43,59.6,4.65,86,4580,770,41,12.2,1.96,38,14.4,1.38,23,18.9,2.97,23
212,Hardwoods,"Keruing, Sabah",Dipterocarpus acutangulus,Sabah,G.,4,63,913,,0.6,0.03,97,82,9.6,45,11800,1310,45,0.096,0.031,23,0.209,0.047,23,0.81,0.159,48,39.2,5.41,97,4710,510,45,8.1,1.24,48,14.4,1.55,25,19.8,3.43,25
213,Hardwoods,"Keruing, Sabah",Dipterocarpus acutangulus,Sabah,A.D.,4,12,,769,0.69,0.048,94,137,14.7,45,14300,2350,45,0.162,0.025,21,0.24,0.048,21,1.04,0.13,46,72.4,7.36,94,5650,827,45,14.3,1.81,48,14.7,2.5,29,21.4,2.58,29
214,Hardwoods,"Keruing, Malaysian",Dipterocarpus sp.,Peninsular Malaysia,G.,1,52,929,,0.62,0.016,45,83,5.2,24,16000,780,24,0.078,0.018,24,0.151,0.032,9,0.69,0.061,16,43.1,3.3,44,4090,488,25,,,,12.8,0.77,8,16.1,0.41,7
215,Hardwoods,"Keruing, Malaysian",Dipterocarpus sp.,Peninsular Malaysia,A.D.,1 tree and 100 pieces,12.1,,849,0.75,0.053,144,144,20.9,115,17600,2340,115,0.166,0.045,56,0.249,0.078,48,1.09,0.166,106,78.9,8.89,143,6580,1177,112,13.4,1.73,200,16.5,3.17,106,18.9,2.56,106
216,Hardwoods,Kurokai,Protium decandrum,Guyana,G.,5,72,801,,0.53,0.045,270,76,9.8,89,10100,1460,89,0.089,0.033,23,0.201,0.073,23,0.74,0.155,96,36.4,4.22,85,4310,777,89,10.5,1.48,84,12.3,1.89,36,15.8,2.43,36
217,Hardwoods,Kurokai,Protium decandrum,Guyana,A.D.,5,12,,641,0.57,0.048,115,116,18.0,46,12100,1700,46,0.148,0.042,17,0.228,0.06,17,0.94,0.212,38,63.4,4.95,115,5160,824,45,16.5,2.41,63,12.6,2.02,33,14.0,2.37,33
218,Hardwoods,Landa,Erythroxylum mannii,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Hardwoods,Landa,Erythroxylum mannii,West Africa,A.D.,10 planks,12,,657,0.58,0.036,70,103,14.1,26,11400,1210,26,0.101,0.049,26,0.203,0.127,26,0.84,0.245,22,53.6,4.75,70,4580,860,35,14.2,1.26,56,15.8,2.7,24,14.9,2.51,24
220,Hardwoods,Lapacho,Tabebuia sp.,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Hardwoods,Lapacho,Tabebuia sp.,Brazil,A.D.,2 planks,12,,929,0.82,0.039,75,150,14.5,17,14200,1330,17,0.163,0.04,17,0.531,0.128,17,1.35,0.252,17,77.9,5.54,75,11610,1582,62,19.9,2.49,40,19.3,3.57,21,16.5,4.62,21
222,Hardwoods,Laran,Anthocephalus chinensis,Sabah,G.,5,138,567,,0.38,0.056,50,54,9.8,48,7600,1350,48,0.071,0.02,15,0.154,0.031,15,0.58,0.132,47,27.7,5.8,50,2090,510,49,6.2,1.7,100,6.8,1.84,48,11.7,3.13,48
223,Hardwoods,Laran,Anthocephalus chinensis,Sabah,A.D.,5,12.1,,454,0.41,0.059,48,77,16.0,45,8700,1660,45,0.089,0.031,14,0.159,0.053,14,0.74,0.162,46,45.3,7.34,48,2670,753,48,8.9,2.19,96,7.0,1.44,46,11.2,2.38,46
224,Hardwoods,"Laurel, Chilean",Laurelia sempervirens,Chile,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Hardwoods,"Laurel, Chilean",Laurelia sempervirens,Chile,A.D.,10 planks,12,,561,0.5,0.039,65,90,11.5,15,9800,1690,15,0.069,0.017,15,0.091,0.024,15,0.56,0.101,14,47.1,7.54,59,3650,644,55,13.7,1.88,68,16.5,2.11,26,19.8,2.17,26
226,Hardwoods,"Lime, European",Tilia vulgaris,United Kingdom,G.,2,52,657,,0.44,0.035,89,54,5.0,24,9200,700,24,0.084,0.019,24,0.186,0.023,24,0.61,0.051,24,26.1,3.86,83,2850,375,78,7.3,1.23,62,10.0,1.05,23,14.0,1.86,23
227,Hardwoods,"Lime, European",Tilia vulgaris,United Kingdom,A.D.,2,12,,561,0.5,0.036,90,92,6.8,25,11200,790,25,0.145,0.014,25,0.205,0.023,25,0.76,0.067,29,47.6,4.96,65,3160,491,73,11.0,1.44,68,15.8,1.68,34,21.7,2.0,34
228,Hardwoods,Lingue,Persea lingue,Chile,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Hardwoods,Lingue,Persea lingue,Chile,A.D.,5 planks,12,,577,0.52,0.031,30,90,7.0,21,10100,730,21,0.088,0.018,21,0.119,0.043,21,,,,48.4,4.65,26,3780,464,26,12.8,1.38,24,13.3,1.93,11,14.9,1.74,11
230,Hardwoods,Maho,Sterculia pruriens,Guyana,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Hardwoods,Maho,Sterculia pruriens,Guyana,A.D.,1,12,,529,0.48,0.074,89,86,16.5,27,11100,1610,27,0.089,0.025,27,0.157,0.045,11,0.69,0.126,37,49.1,6.76,89,3510,1245,79,8.5,1.95,41,8.4,1.23,21,11.7,2.78,22
232,Hardwoods,"Mahogany, African",Khaya anthotheca,Uganda,G.,4,61,657,,0.44,0.029,529,53,7.6,197,7400,1170,197,0.072,0.026,197,0.193,0.052,55,0.71,0.127,101,25.4,4.02,504,3250,490,126,8.3,1.16,130,13.7,1.9,74,15.2,2.17,68
233,Hardwoods,"Mahogany, African",Khaya anthotheca,Uganda,A.D.,4,12,,513,0.46,0.029,551,83,12.0,100,9000,1320,100,0.082,0.03,99,0.135,0.032,56,0.64,0.151,33,44.3,5.1,407,3830,610,121,12.5,1.69,127,11.7,1.68,60,13.3,2.34,55
234,Hardwoods,"Mahogany, African",Khaya anthotheca,Ghana,G.,5,54,657,,0.44,0.035,118,60,8.8,56,7700,1160,56,0.083,0.02,21,0.203,0.054,21,0.64,0.139,52,28.4,5.32,118,3250,607,56,8.8,1.56,60,11.6,1.77,24,16.3,2.18,24
235,Hardwoods,"Mahogany, African",Khaya anthotheca,Ghana,A.D.,5,12,,529,0.46,0.038,111,83,11.0,54,9200,1250,54,0.082,0.023,24,0.118,0.036,24,0.56,0.111,52,45.9,5.75,111,4140,703,54,13.9,2.62,48,12.3,1.66,28,15.9,1.8,28
236,Hardwoods,"Mahogany, heavy African",Khaya grandifoliola,Nigeria,G.,5,54,817,,0.54,0.056,110,69,12.5,44,9100,1560,44,0.081,0.027,20,0.201,0.056,20,0.74,0.142,44,35.9,5.79,110,5200,1327,44,12.1,2.11,42,15.4,2.24,23,18.9,2.11,23
237,Hardwoods,"Mahogany, heavy African",Khaya grandifoliola,Nigeria,A.D.,5,12,,641,0.57,0.049,83,97,15.0,41,10600,1390,41,0.099,0.025,21,0.206,0.045,21,0.64,0.158,41,55.2,5.58,83,6090,933,41,17.3,2.92,28,14.0,1.67,17,18.4,2.47,17
238,Hardwoods,"Mahogany, African",Khaya ivorensis,Nigeria and Ghana,G.,11,64,641,,0.42,0.039,264,54,10.8,215,7400,1560,216,0.06,0.02,67,0.152,0.057,67,0.56,0.137,225,26.8,5.54,264,2850,370,212,7.3,1.38,212,9.8,1.82,105,13.5,2.2,105
239,Hardwoods,"Mahogany, African",Khaya ivorensis,Nigeria and Ghana,A.D.,11,12,,497,0.44,0.04,294,78,15.0,129,9000,1520,129,0.07,0.026,49,0.128,0.044,49,0.58,0.149,113,46.4,8.45,294,3690,816,128,11.8,2.56,120,10.0,2.08,62,14.0,2.9,62
240,Hardwoods,"Mahogany, African",Khaya nyasica,Tanzania,G.,3,66,705,,0.47,0.036,65,63,7.5,32,7300,930,32,0.07,0.021,32,0.21,0.08,32,0.71,0.18,31,33.2,3.69,65,3830,716,32,10.4,1.68,60,11.9,1.75,33,15.4,2.12,33
241,Hardwoods,"Mahogany, African",Khaya nyasica,Tanzania,A.D.,2,12.4,,545,0.49,0.072,43,76,14.1,15,7800,900,15,0.066,0.021,15,0.109,0.032,15,0.48,0.124,16,42.4,6.94,43,4230,1182,21,13.8,2.84,42,11.0,2.35,24,14.0,3.43,24
242,Hardwoods,"Mahogany, American",Swietenia macrophylla,Belize,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Hardwoods,"Mahogany, American",Swietenia macrophylla,Belize,A.D.,2,12,,497,0.44,0.03,90,83,7.8,36,8800,650,36,0.083,0.017,36,0.108,0.021,36,0.58,0.078,35,44.2,4.32,74,3110,607,55,12.7,2.56,53,10.9,2.07,27,14.5,2.38,27
244,Hardwoods,"Mahogany, American",Swietenia sp.,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Hardwoods,"Mahogany, American",Swietenia sp.,Brazil,A.D.,60 planks,11.4,,581,0.52,0.064,168,89,14.2,117,8600,1220,116,0.069,0.016,50,0.084,0.024,50,0.51,0.108,79,56.0,7.79,168,5480,1691,80,14.3,3.31,188,11.8,1.77,85,15.0,2.0,85
246,Hardwoods,Makore,Tieghemella heckelii,Ghana,G.,4,44,801,,0.54,0.039,192,75,10.3,64,8200,1300,64,0.114,0.025,64,0.241,0.056,16,0.76,0.145,64,36.5,4.78,64,4140,629,64,10.7,1.29,60,15.9,1.95,31,17.9,1.72,31
247,Hardwoods,Makore,Tieghemella heckelii,Ghana,A.D.,4,12,,609,0.54,0.03,220,101,12.0,73,10100,1250,73,0.09,0.023,22,0.116,0.045,22,0.69,0.12,66,53.3,5.46,81,4940,620,73,14.3,1.6,64,16.3,2.65,36,17.5,3.04,36
248,Hardwoods,Mandioquera,Qualea sp.,Brazil,G.,7 planks,36,897,,0.6,0.042,31,81,11.0,28,12800,1640,28,0.077,0.035,28,0.146,0.077,28,,,,43.1,5.61,29,4050,741,19,10.4,1.48,22,11.7,2.64,10,14.0,1.4,10
249,Hardwoods,Mandioquera,Qualea sp.,Brazil,A.D.,10 planks,12,,769,0.68,0.06,56,138,16.4,42,17700,2240,42,0.123,0.039,42,0.199,0.051,42,,,,81.6,8.77,56,7700,1173,46,15.5,1.76,38,12.8,2.95,22,12.8,3.03,22
250,Hardwoods,Mansonia,Mansonia altissima,Nigeria,G.,1,44,801,,0.54,0.01,11,90,2.0,6,9700,530,6,0.138,0.026,6,0.288,0.025,3,1.02,0.072,4,44.1,1.08,11,5380,254,5,12.5,0.98,5,16.5,1.55,3,19.3,1.09,3
251,Hardwoods,Mansonia,Mansonia altissima,Nigeria,A.D.,1,12,,641,0.57,0.012,13,122,8.3,4,10900,1350,4,0.153,0.019,4,0.263,0.045,4,1.14,0.106,3,58.6,2.9,11,5740,201,6,15.4,1.02,8,11.2,0.91,4,14.5,2.56,4
252,Hardwoods,Mchenga,Julbernardia globiflora,Tanzania,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
